Data,SIH_Sul_I_Old,SIH_Sul_J_Old,SIH_Sul_I_Kid,SIH_Sul_J_Kid,SIH_GV_I_Old,SIH_GV_J_Old,SIH_GV_I_Kid,SIH_GV_J_Kid,pm25.gv,pm10.gv,so2.gv,no2.gv,co.gv,o3.gv,co.sul,o3.sul,no2.sul,so2.sul,pm10.sul,pm25.sul
14/02/2015,2,0,0,0,12,5,0,4,9.6875,25.53911565,8.438854167,6.1,351.7818333,23.2578125,419.98625,28.1575,10.89797917,7.65875,28.76604167,7.282361111
15/02/2015,1,0,0,2,6,4,0,7,10.97916667,23.90800866,9.943645833,5.788125,306.91025,22.33166667,303.7211174,33.88181818,9.119630682,7.41375,28.63309061,6.593541667
16/02/2015,0,1,0,0,12,3,0,4,9.75,24.41396104,9.079166667,5.587333333,256.0760833,22.87958333,316.1579167,46.10190476,8.509007353,7.592083333,25.20732843,6.448854167
17/02/2015,0,1,0,0,8,8,0,9,12.14583333,29.57424812,8.650833333,5.744017857,315.70075,24.6665625,418.3666667,30.26380952,10.61139394,9.846666667,30.28558506,8.965955616
18/02/2015,0,2,0,0,12,4,1,10,13.33333333,35.31775497,9.610520833,8.164333333,328.8085,28.72729167,412.1227083,51.79071429,9.407837302,9.012083333,32.09816344,8.436789773
19/02/2015,3,2,0,1,10,11,0,13,12.5625,34.47619048,8.509905303,9.083291925,431.6459167,23.52308424,360.9439583,,9.913998904,9.500416667,31.10649398,7.834522059
20/02/2015,3,2,0,1,16,2,0,9,9.083333333,29.75952381,6.428229167,10.96679924,397.0833333,21.97541667,397.8609659,,8.188806818,6.5225,25.02180836,6.91989639
21/02/2015,2,1,0,1,16,3,1,10,12.69655797,27.74028327,11.24875,11.85541667,447.2910833,29.03947917,462.51,,9.94466299,8.0825,31.12021135,7.142792208
22/02/2015,1,0,0,2,6,1,0,5,14.58712121,20.87813283,5.005416667,6.239782609,345.9195,21.55854167,582.3245833,,6.545214461,4.440833333,15.54937457,4.954344058
23/02/2015,1,0,0,1,8,3,0,10,8.666666667,23.40564182,7.107916667,12.08692029,436.8698333,17.7975,303.9039583,12.65,6.91024697,5.824583333,10.80430556,3.611517857
24/02/2015,1,0,0,2,12,9,0,8,14.10416667,28.78571429,8.076770833,13.086875,561.1309167,15.9340625,404.4658333,20.74444444,9.871333333,8.8925,24.86551932,5.325468956
25/02/2015,2,0,0,0,14,9,2,24,8.5,27.30580527,5.704791667,10.92384964,350.7057652,23.04666667,322.485625,84.875,9.109894928,7.084166667,20.05333333,5.091666667
26/02/2015,1,1,0,1,8,5,0,13,10.67934783,29.84730849,8.7721875,13.75255682,468.20575,18.7278125,428.3204167,,10.74708333,9.8375,22.83262626,6.907946429
27/02/2015,4,2,0,2,12,8,0,19,13.87689394,38.14130435,7.661875,19.04354167,530.2114167,18.60583333,440.0456151,25.19666667,11.09837879,9.291666667,25.94806548,8.036423611
28/02/2015,1,0,0,2,4,3,0,7,22.58333333,37.72541408,9.800625,19.15166667,426.4871667,59.42947917,334.3826641,33.394,15.80455072,19.51708333,34.49044006,11.78450893
